instruction,Op3,Op2,Op1,Cycle,Clock,Reg write,ALU enable,Bus read,Bus write,ROM data,,
"Add, Subtract",0,0,0,0,0,0,0,1,0,2,2,get instruction in front of IR
,0,0,0,0,1,0,0,1,0,2,2,"""fetch"" store instruction to IR"
,0,0,0,1,0,0,1,0,0,4,4,execute: put the result of add in front of the register file
,0,0,0,1,1,1,1,0,0,12,C,write result to register file
"Multiply, divide",0,0,1,0,0,0,0,1,0,2,2,
,0,0,1,0,1,0,0,1,0,2,2,
,0,0,1,1,0,0,1,0,0,4,4,
,0,0,1,1,1,1,1,0,0,12,C,
"And, Or",0,1,0,0,0,0,0,1,0,2,2,
,0,1,0,0,1,0,0,1,0,2,2,
,0,1,0,1,0,0,1,0,0,4,4,
,0,1,0,1,1,1,1,0,0,12,C,
"XNOR, MOV",0,1,1,0,0,0,0,1,0,2,2,
,0,1,1,0,1,0,0,1,0,2,2,
,0,1,1,1,0,0,1,0,0,4,4,
,0,1,1,1,1,1,1,0,0,12,C,
"JZE, JZN",1,0,0,0,0,0,0,1,0,2,2,get instruction in front of IR
,1,0,0,0,1,0,0,1,0,2,2,"""fetch"" store instruction to IR"
,1,0,0,1,0,0,0,0,0,0,0,delegate to pc control
,1,0,0,1,1,0,0,0,0,0,0,delegate to pc control
"JZG, JZL",1,0,1,0,0,0,0,1,0,2,2,get instruction in front of IR
,1,0,1,0,1,0,0,1,0,2,2,"""fetch"" store instruction to IR"
,1,0,1,1,0,0,0,0,0,0,0,delegate to pc control
,1,0,1,1,1,0,0,0,0,0,0,delegate to pc control
load,1,1,0,0,0,0,0,1,0,2,2,get instruction in front of IR
,1,1,0,0,1,0,0,1,0,2,2,"""fetch"" store instruction to IR"
,1,1,0,1,0,0,0,1,0,2,2,get data from RAM in front of register file
,1,1,0,1,1,1,0,1,0,10,A,write data from RAM into register file
stor,1,1,1,0,0,0,0,1,0,2,2,get instruction in front of IR
,1,1,1,0,1,0,0,1,0,2,2,"""fetch"" store instruction to IR"
,1,1,1,1,0,0,0,0,0,0,0,
,1,1,1,1,1,0,0,0,1,1,1,write data from Register file to RAM
,,,,,,,,,,,,
,,,,,,,,,,,,
,2,2,2,2,2,2,2,4,4,,,
,3,3,3,3,3,3,3,5,5,,,
